MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/2/2021 21:57:29,34,1,1,4.03,15
8/2/2021 22:11:55,34,2,1,4.03,15
8/2/2021 22:12:34,34,3,2,4.03,15
8/2/2021 22:48:55,34,4,2,4.03,15
8/2/2021 22:49:19,34,5,1,4.03,15
8/2/2021 23:21:17,34,6,9,4.03,15
8/2/2021 23:21:51,34,7,2,4.03,15
8/2/2021 23:22:19,34,8,1,4.03,15
8/2/2021 23:22:40,34,9,1,4.03,15
8/2/2021 23:23:10,34,10,1,4.03,15
8/2/2021 23:23:32,34,11,1,4.03,15
8/2/2021 23:23:58,34,12,1,4.02,15
8/2/2021 23:26:02,34,13,1,4.03,15
8/2/2021 23:26:31,34,14,1,4.03,15
8/2/2021 23:28:22,34,15,1,4.03,15
8/2/2021 23:28:47,34,16,1,4.03,15
8/2/2021 23:29:08,34,17,1,4.03,15
8/2/2021 23:32:02,34,18,1,4.03,15
8/2/2021 23:32:28,34,19,1,4.03,15
8/2/2021 23:37:14,34,20,1,4.02,15
8/2/2021 23:38:25,34,21,1,4.03,15
8/2/2021 23:45:55,34,22,1,4.03,15
8/2/2021 23:52:09,34,23,1,4.03,15
8/2/2021 23:52:35,34,24,1,4.03,15
8/2/2021 23:53:11,34,25,1,4.03,15
8/2/2021 23:59:22,34,26,1,4.03,15
8/3/2021 0:07:00,34,27,1,4.03,15
8/3/2021 0:11:49,34,28,5,4.03,15
8/3/2021 0:33:18,34,29,2,4.03,15
8/3/2021 0:33:57,34,30,1,4.03,15
8/3/2021 0:39:27,34,31,1,4.03,15
8/3/2021 0:42:26,34,32,1,4.02,15
8/3/2021 1:44:51,34,33,1,4.02,15
8/3/2021 1:45:24,34,34,1,4.02,15
8/3/2021 1:47:53,34,35,1,4.02,15
8/3/2021 2:05:31,34,36,1,4.02,15
8/3/2021 2:06:03,34,37,1,4.03,15
8/3/2021 2:06:42,34,38,1,4.02,15
8/3/2021 2:07:20,34,39,1,4.02,15
8/3/2021 2:07:52,34,40,1,4.02,15
8/3/2021 2:20:14,34,41,1,4.02,15
8/3/2021 2:55:44,34,42,1,4.02,15
8/3/2021 2:56:35,34,43,2,4.02,15
8/3/2021 4:26:31,34,44,2,4.02,15
8/3/2021 4:26:52,34,45,1,4.02,15
8/3/2021 4:32:56,34,46,1,4.02,15
8/3/2021 4:37:57,34,47,1,4.02,15
8/3/2021 4:38:38,34,48,1,4.02,15
8/3/2021 4:42:07,34,49,1,4.02,15
8/3/2021 5:39:52,34,50,1,4.01,15
8/3/2021 5:40:26,34,51,1,4.02,15
8/3/2021 5:41:28,34,52,1,4.02,15
8/3/2021 5:56:09,34,53,1,4.02,15
8/3/2021 6:43:56,34,54,1,4.01,15
8/3/2021 6:44:27,34,55,1,4.02,15
8/3/2021 6:45:11,34,56,1,4.01,15
8/3/2021 7:20:58,34,57,1,4.02,15
8/3/2021 7:51:14,34,58,1,4,15
8/3/2021 8:02:25,34,59,1,4.01,15
8/3/2021 8:02:58,34,60,1,4.01,15
8/3/2021 8:12:07,34,61,1,4.01,15
8/3/2021 8:43:54,34,62,1,4.01,15
8/3/2021 8:44:39,34,63,1,4,15
8/3/2021 8:55:24,34,64,1,4.02,15
8/3/2021 8:55:54,34,65,1,4.01,15
8/3/2021 8:56:22,34,66,1,4,15
8/3/2021 9:03:17,34,67,1,4.01,15
8/3/2021 9:03:48,34,68,1,4.01,15
8/3/2021 9:59:03,34,69,2,4,15
8/3/2021 9:59:48,34,70,1,4.01,15
8/3/2021 10:00:26,34,71,1,4,15
8/3/2021 10:01:04,34,72,1,4.01,15
8/3/2021 10:02:15,34,73,1,4.01,15
8/3/2021 10:12:35,34,74,1,4.01,15
8/3/2021 11:07:18,34,75,1,4,15
8/3/2021 11:07:51,34,76,1,4.01,15
8/3/2021 11:32:37,34,77,1,4,15
8/3/2021 11:37:33,34,78,1,4,15
8/3/2021 11:38:07,34,79,1,4,15
8/3/2021 12:03:10,34,80,1,4,15
8/3/2021 12:29:44,34,81,1,4,15
8/3/2021 12:30:18,34,82,1,4,15
8/3/2021 12:30:52,34,83,1,4.01,15
8/3/2021 12:35:40,34,84,1,4,15
8/3/2021 12:59:38,34,85,1,4,15
8/3/2021 13:00:15,34,86,1,4,15
8/3/2021 13:43:02,34,87,1,4,15
8/3/2021 13:52:11,34,88,1,4,15
8/3/2021 13:53:37,34,89,1,4,15
8/3/2021 14:06:19,34,90,1,4,15
8/3/2021 14:07:14,34,91,1,4,15
8/3/2021 14:07:53,34,92,1,4,15
8/3/2021 14:59:52,34,93,1,4,15
8/3/2021 15:01:23,34,94,1,4,15
8/3/2021 15:02:04,34,95,1,4,15
8/3/2021 15:23:09,34,96,1,4,15
8/3/2021 15:44:52,34,97,1,4,15
8/3/2021 16:04:45,34,98,1,3.99,15
8/3/2021 16:50:07,34,99,1,3.99,15
8/3/2021 16:50:33,34,100,1,4,15
8/3/2021 17:18:24,34,101,1,4,15
8/3/2021 17:31:41,34,102,1,4,15
8/3/2021 17:32:13,34,103,1,4,15
8/3/2021 18:16:52,34,104,1,3.99,15
8/3/2021 18:53:52,34,105,1,4,15
8/3/2021 18:54:21,34,106,1,3.99,15
8/3/2021 19:11:42,34,107,2,3.99,15
8/3/2021 19:12:39,34,108,1,4,15
8/3/2021 19:36:11,34,109,1,3.99,15
8/3/2021 20:11:16,34,110,1,3.99,15
8/3/2021 20:39:30,34,111,1,4,15
