MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/30/2021 0:15:34,34,52,1,3.63,15
8/30/2021 0:28:28,34,53,1,3.63,15
8/30/2021 0:30:32,34,54,3,3.63,15
8/30/2021 0:30:57,34,55,1,3.63,15
8/30/2021 0:40:56,34,56,1,3.63,15
8/30/2021 1:05:12,34,57,1,3.63,15
8/30/2021 1:19:56,34,58,1,3.63,15
8/30/2021 1:39:26,34,59,1,3.63,15
8/30/2021 2:16:27,34,60,1,3.63,15
8/30/2021 2:17:01,34,61,1,3.63,15
8/30/2021 2:52:31,34,62,3,3.63,15
8/30/2021 3:07:04,34,63,1,3.63,15
8/30/2021 3:23:31,34,64,1,3.63,15
8/30/2021 3:44:10,34,65,1,3.63,15
8/30/2021 4:17:54,34,66,1,3.63,15
8/30/2021 5:02:35,34,67,2,3.62,15
8/30/2021 5:24:18,34,68,1,3.62,15
8/30/2021 5:53:10,34,69,1,3.62,15
8/30/2021 6:15:04,34,70,1,3.63,15
8/30/2021 7:03:04,34,71,1,3.62,15
8/30/2021 7:43:55,34,72,1,3.62,15
8/30/2021 8:15:17,34,73,1,3.62,15
8/30/2021 8:15:54,34,74,1,3.62,15
8/30/2021 8:27:45,34,75,1,3.62,15
8/30/2021 9:02:34,34,76,1,3.62,15
8/30/2021 11:00:42,34,77,1,3.62,15
8/30/2021 11:01:16,34,78,1,3.62,15
8/30/2021 11:17:15,34,79,1,3.62,15
8/30/2021 11:17:38,34,80,1,3.62,15
8/30/2021 11:48:48,34,1,1,4.2,15
8/30/2021 11:49:08,34,2,1,4.2,15
8/30/2021 13:31:17,34,3,1,4.2,15
8/30/2021 13:31:39,34,4,1,4.2,15
8/30/2021 14:07:29,34,5,1,4.2,15
8/30/2021 14:40:50,34,6,1,4.18,15
8/30/2021 14:41:21,34,7,1,4.2,15
8/30/2021 15:20:18,34,8,1,4.18,15
8/30/2021 15:44:02,34,9,1,4.19,15
8/30/2021 15:48:55,34,10,1,4.19,15
8/30/2021 17:01:04,34,11,1,4.18,15
8/30/2021 17:34:56,34,12,1,4.18,15
8/30/2021 17:35:28,34,13,1,4.18,15
8/30/2021 18:01:46,34,14,3,4.18,15
8/30/2021 18:57:28,34,15,1,4.18,15
8/30/2021 19:53:40,34,16,1,4.17,15
8/30/2021 20:07:54,34,17,1,4.17,15
8/30/2021 20:26:28,34,18,1,4.17,15
8/30/2021 20:42:36,34,19,4,4.17,15
8/30/2021 20:45:07,34,20,4,4.18,15
8/30/2021 22:14:49,34,21,2,4.16,15
8/30/2021 22:51:31,34,22,1,4.16,15
8/30/2021 23:24:26,34,23,4,4.16,15
8/31/2021 1:45:53,34,24,485,4.11,15
8/31/2021 2:21:21,34,25,162,4.09,15
8/31/2021 6:14:45,34,26,1064,4,15
8/31/2021 6:27:40,34,27,61,4,15
8/31/2021 6:27:59,34,28,1,4,15
8/31/2021 6:38:15,34,29,34,4,15
8/31/2021 6:39:43,34,30,2,4,15
8/31/2021 6:55:51,34,31,69,3.99,15
8/31/2021 9:16:36,34,32,29,3.98,15
8/31/2021 12:10:31,34,33,768,3.93,15
8/31/2021 17:09:44,34,34,1398,3.8,15
8/31/2021 20:26:42,34,35,293,3.76,15
8/31/2021 20:46:10,34,36,90,3.75,15
8/31/2021 21:19:22,34,37,142,3.74,15
9/1/2021 0:14:41,34,38,823,3.69,15
9/1/2021 0:36:32,34,39,44,3.69,15
9/1/2021 3:36:29,34,40,766,3.67,15
9/1/2021 3:40:18,34,41,14,3.66,15
9/1/2021 3:49:52,34,42,45,3.66,15
