MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
9/16/2021 11:34:30,1,1,1,4.09,180
9/16/2021 12:34:29,1,2,1,4.09,180
9/16/2021 13:12:33,1,3,1,4.08,15
9/16/2021 13:21:50,1,4,4,4.08,15
9/16/2021 13:26:56,1,5,1,4.09,120
9/16/2021 13:39:02,1,6,1,4.08,180
9/16/2021 13:46:50,1,7,1,4.08,15
9/16/2021 13:51:50,1,8,1,4.09,60
9/16/2021 13:54:23,1,9,1,4.09,120
9/16/2021 14:09:09,1,10,6,4.08,240
9/16/2021 14:21:32,1,11,1,4.08,180
9/16/2021 14:28:46,1,12,6,4.07,15
9/16/2021 14:36:31,1,13,10,4.08,15
9/16/2021 14:40:28,1,14,1,4.08,15
9/16/2021 14:45:03,1,15,1,4.08,60
9/16/2021 15:08:24,1,16,1,4.08,120
9/16/2021 15:25:58,1,17,1,4.08,60
9/16/2021 16:03:34,1,18,1,4.08,120
9/16/2021 16:16:21,1,19,2,4.08,180
9/16/2021 16:31:20,1,20,1,4.07,120
9/16/2021 16:55:26,1,21,1,4.08,60
9/16/2021 17:31:51,1,22,1,4.08,120
9/16/2021 17:40:44,1,23,8,4.07,240
9/16/2021 17:46:41,1,24,2,4.07,180
9/16/2021 17:47:21,1,25,3,4.08,60
9/16/2021 17:55:46,1,26,1,4.07,180
9/16/2021 18:07:57,1,27,1,4.07,120
9/16/2021 18:12:17,1,28,8,4.07,60
9/16/2021 18:42:04,1,29,7,4.07,120
9/16/2021 19:39:44,1,30,2,4.07,15
9/16/2021 19:42:23,1,31,1,4.07,120
9/16/2021 19:49:56,1,32,1,4.07,15
9/16/2021 19:55:44,1,33,1,4.07,180
9/16/2021 19:57:18,1,34,1,4.07,15
9/16/2021 20:26:35,1,35,1,4.07,60
9/16/2021 21:31:12,1,36,1,4.07,180
9/16/2021 21:53:16,1,37,1,4.07,120
9/16/2021 22:31:11,1,38,1,4.07,60
9/16/2021 23:00:31,1,39,1,4.07,240
9/16/2021 23:10:25,1,40,1,4.07,180
9/16/2021 23:20:44,1,41,1,4.07,120
9/16/2021 23:40:13,1,42,8,4.07,240
9/16/2021 23:46:35,1,43,3,4.07,15
9/16/2021 23:49:45,1,44,1,4.07,120
9/17/2021 0:06:15,1,45,3,4.07,180
9/17/2021 0:08:37,1,46,6,4.07,15
9/17/2021 0:16:20,1,47,1,4.06,180
9/17/2021 0:34:34,1,48,3,4.06,180
9/17/2021 0:47:57,1,49,8,4.06,60
9/17/2021 0:59:08,1,50,50,4.06,60
9/17/2021 1:08:27,1,51,1,4.05,180
9/17/2021 1:18:52,1,52,2,4.06,15
9/17/2021 1:25:22,1,53,1,4.06,60
9/17/2021 1:32:56,1,54,7,4.06,240
9/17/2021 1:43:41,1,55,1,4.05,15
9/17/2021 3:57:02,1,56,1,4.05,240
9/17/2021 5:44:49,1,57,1,4.05,240
9/17/2021 5:59:35,1,58,1,4.05,240
9/17/2021 8:11:02,1,59,1,4.05,120
9/17/2021 9:27:19,1,60,5,4.04,15
9/17/2021 9:39:54,1,61,1,4.05,120
9/17/2021 10:47:08,1,62,1,4.04,60
9/17/2021 11:08:31,1,63,3,4.04,240
