MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/16/2021 0:02:24,2,227,1,3.85,15
8/16/2021 0:09:06,2,228,1,3.84,15
8/16/2021 0:12:43,2,229,1,3.85,15
8/16/2021 0:29:26,2,230,1,3.85,15
8/16/2021 1:21:29,2,231,1,3.85,15
8/16/2021 1:49:52,2,232,1,3.85,15
8/16/2021 2:14:59,2,233,1,3.84,15
8/16/2021 2:30:49,2,234,1,3.85,15
8/16/2021 2:38:25,2,235,2,3.84,15
8/16/2021 2:57:45,2,236,1,3.85,15
8/16/2021 3:28:07,2,237,1,3.84,15
8/16/2021 4:17:18,2,238,1,3.84,15
8/16/2021 5:02:54,2,239,1,3.83,15
8/16/2021 5:19:11,2,240,1,3.83,15
8/16/2021 5:31:17,2,241,1,3.84,15
8/16/2021 6:04:11,2,242,1,3.84,15
8/16/2021 6:12:26,2,243,1,3.83,15
8/16/2021 6:22:21,2,244,1,3.83,15
8/16/2021 7:04:53,2,245,1,3.83,15
8/16/2021 7:16:24,2,246,1,3.83,15
8/16/2021 7:32:31,2,247,1,3.83,15
8/16/2021 7:39:54,2,248,1,3.83,15
8/16/2021 7:51:45,2,249,1,3.83,15
8/16/2021 8:26:15,2,250,1,3.83,15
8/16/2021 10:12:26,2,251,1,3.83,15
8/16/2021 10:12:54,2,252,1,3.83,15
8/16/2021 10:43:39,2,253,1,3.83,15
8/16/2021 10:56:58,2,254,1,3.82,15
8/16/2021 11:20:47,2,255,1,3.83,15
8/16/2021 12:15:27,2,256,1,3.82,15
8/16/2021 12:53:27,2,257,1,3.82,15
8/16/2021 13:21:25,2,258,1,3.82,15
8/16/2021 13:34:19,2,259,1,3.82,15
8/16/2021 13:39:30,2,260,1,3.82,15
8/16/2021 14:09:53,2,261,1,3.82,15
8/16/2021 14:10:17,2,262,1,3.82,15
8/16/2021 14:30:28,2,263,1,3.82,15
8/16/2021 15:40:18,2,264,1,3.82,15
8/16/2021 16:07:41,2,265,1,3.82,15
8/16/2021 16:37:53,2,266,1,3.82,15
8/16/2021 17:00:14,2,267,1,3.82,15
8/16/2021 17:23:48,2,268,1,3.82,15
8/16/2021 17:45:35,2,269,1,3.82,15
8/16/2021 18:19:16,2,270,1,3.82,15
8/16/2021 18:38:04,2,271,1,3.81,15
8/16/2021 18:39:13,2,272,1,3.82,15
8/16/2021 18:51:50,2,273,2,3.82,15
8/16/2021 19:25:19,2,274,1,3.81,15
8/16/2021 19:42:03,2,275,1,3.81,15
8/16/2021 20:00:11,2,276,1,3.81,15
8/16/2021 20:31:40,2,277,1,3.82,15
8/16/2021 20:49:03,2,278,1,3.81,15
8/16/2021 21:00:27,2,279,1,3.82,15
8/16/2021 21:06:06,2,280,1,3.81,15
8/16/2021 21:08:45,2,281,1,3.81,15
8/16/2021 21:12:21,2,282,1,3.81,15
8/16/2021 21:17:26,2,283,1,3.81,15
8/16/2021 21:23:39,2,284,1,3.81,15
8/16/2021 21:49:27,2,285,1,3.81,15
8/16/2021 21:55:25,2,286,1,3.8,15
8/16/2021 22:03:14,2,287,1,3.81,15
8/16/2021 22:46:13,2,288,1,3.81,15
8/16/2021 22:47:01,2,289,1,3.81,15
8/16/2021 22:48:14,2,290,1,3.8,15
8/16/2021 22:57:16,2,291,1,3.8,15
8/16/2021 22:58:49,2,292,1,3.8,15
8/16/2021 23:05:56,2,293,1,3.8,15
8/16/2021 23:13:47,2,294,1,3.8,15
8/16/2021 23:28:00,2,295,1,3.8,15
8/17/2021 4:11:03,2,296,2,3.8,15
8/17/2021 4:12:11,2,297,1,3.8,15
8/17/2021 4:12:43,2,298,1,3.8,15
8/17/2021 4:23:33,2,299,1,3.79,15
8/17/2021 5:52:02,2,300,1,3.8,15
8/17/2021 5:52:26,2,301,1,3.79,15
8/17/2021 5:52:53,2,302,1,3.79,15
8/17/2021 6:02:35,2,303,1,3.8,15
8/17/2021 6:19:23,2,304,1,3.8,15
8/17/2021 6:41:56,2,305,1,3.79,15
8/17/2021 6:56:52,2,306,1,3.79,15
8/17/2021 7:11:01,2,307,1,3.79,15
8/17/2021 7:57:48,2,308,1,3.79,15
8/17/2021 8:00:01,2,309,1,3.78,15
8/17/2021 8:11:06,2,310,1,3.79,15
8/17/2021 8:11:44,2,311,1,3.78,15
8/17/2021 8:29:22,2,312,1,3.78,15
8/17/2021 10:18:08,2,313,1,3.78,15
8/17/2021 10:18:46,2,314,1,3.78,15
8/17/2021 11:24:40,2,315,1,3.78,15
8/17/2021 12:13:21,2,316,1,3.78,15
8/17/2021 12:14:30,2,317,1,3.78,15
8/17/2021 12:45:22,2,318,1,3.78,15
8/17/2021 13:24:40,2,319,1,3.78,15
8/17/2021 14:27:42,2,320,1,3.78,15
8/17/2021 16:15:18,2,321,1,3.78,15
8/17/2021 16:37:31,2,322,1,3.77,15
8/17/2021 17:05:23,2,323,1,3.77,15
8/17/2021 17:22:29,2,324,1,3.77,15
8/17/2021 18:13:26,2,325,1,3.77,15
8/17/2021 18:14:14,2,326,1,3.76,15
8/17/2021 18:41:12,2,327,1,3.77,15
8/17/2021 18:41:54,2,328,1,3.77,15
8/17/2021 19:05:55,2,329,1,3.77,15
8/17/2021 19:19:33,2,330,1,3.77,15
8/17/2021 19:32:47,2,331,1,3.76,15
8/17/2021 19:53:36,2,332,1,3.77,15
8/17/2021 20:01:30,2,333,1,3.76,15
8/17/2021 20:11:44,2,334,2,3.77,15
8/17/2021 20:17:40,2,335,1,3.76,15
8/17/2021 20:57:44,2,336,1,3.76,15
8/17/2021 21:14:53,2,337,1,3.76,15
8/17/2021 21:16:04,2,338,1,3.76,15
8/17/2021 21:18:12,2,339,1,3.76,15
8/17/2021 21:41:52,2,340,1,3.76,15
8/17/2021 21:43:57,2,341,1,3.76,15
8/17/2021 21:56:16,2,342,1,3.76,15
8/17/2021 22:03:42,2,343,1,3.76,15
8/17/2021 22:06:27,2,344,1,3.76,15
8/17/2021 22:09:59,2,345,1,3.76,15
8/17/2021 22:21:39,2,346,1,3.75,15
8/17/2021 22:27:21,2,347,1,3.76,15
8/17/2021 22:35:14,2,348,1,3.76,15
8/17/2021 22:39:09,2,349,1,3.76,15
8/17/2021 22:44:54,2,350,1,3.76,15
8/17/2021 22:52:39,2,351,2,3.76,15
8/17/2021 23:04:15,2,352,1,3.76,15
8/17/2021 23:18:32,2,353,1,3.76,15
8/17/2021 23:28:02,2,354,1,3.76,15
8/17/2021 23:42:25,2,355,1,3.76,15
8/17/2021 23:46:44,2,356,1,3.76,15
8/17/2021 23:54:18,2,357,1,3.76,15
8/18/2021 0:08:41,2,358,1,3.76,15
8/18/2021 0:29:07,2,359,1,3.75,15
8/18/2021 0:46:41,2,360,1,3.76,15
8/18/2021 0:56:25,2,361,1,3.76,15
8/18/2021 1:14:11,2,362,1,3.75,15
8/18/2021 1:42:14,2,363,1,3.76,15
8/18/2021 1:55:04,2,364,1,3.76,15
8/18/2021 2:41:34,2,365,1,3.75,15
