MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
7/19/2021 21:52:37,244,1,10,3.81,0
7/19/2021 22:35:15,244,2,2,3.8,15
7/19/2021 22:39:28,244,3,2,3.8,15
7/19/2021 22:41:38,244,4,3,3.81,15
7/19/2021 22:43:28,244,5,3,3.8,15
7/19/2021 22:49:57,244,6,2,3.8,15
7/19/2021 22:51:22,244,7,3,3.8,15
7/19/2021 22:52:20,244,8,3,3.8,15
7/19/2021 23:00:15,244,9,2,3.81,15
7/19/2021 23:00:57,244,10,3,3.8,15
7/19/2021 23:09:24,244,11,2,3.81,15
7/19/2021 23:20:39,244,12,10,3.81,15
7/19/2021 23:22:50,244,13,2,3.8,15
7/19/2021 23:31:07,244,14,2,3.8,15
7/19/2021 23:36:55,244,15,2,3.8,15
7/19/2021 23:44:54,244,16,10,3.82,15
7/19/2021 23:50:08,244,17,5,3.8,15
7/19/2021 23:57:02,244,18,2,3.8,15
7/19/2021 23:57:58,244,19,2,3.8,15
7/19/2021 23:59:25,244,20,2,3.8,15
7/20/2021 0:05:33,244,21,2,3.8,15
7/20/2021 0:18:07,244,22,2,3.8,15
7/20/2021 0:32:46,244,23,2,3.8,15
7/20/2021 0:35:10,244,24,2,3.8,15
7/20/2021 0:38:05,244,25,3,3.8,15
7/20/2021 1:04:37,244,26,4,3.8,15
7/20/2021 1:05:07,244,27,2,3.8,15
7/20/2021 1:06:21,244,28,3,3.8,15
7/20/2021 1:07:22,244,29,2,3.8,15
7/20/2021 1:24:45,244,30,2,3.79,15
7/20/2021 1:25:36,244,31,4,3.8,15
7/20/2021 1:26:20,244,32,2,3.8,15
7/20/2021 1:28:33,244,33,2,3.8,15
7/20/2021 1:29:04,244,34,2,3.8,15
7/20/2021 1:37:05,244,35,2,3.8,15
7/20/2021 1:48:32,244,36,3,3.8,15
7/20/2021 1:49:11,244,37,2,3.8,15
7/20/2021 1:54:22,244,38,2,3.8,15
7/20/2021 2:07:31,244,39,2,3.8,15
7/20/2021 2:07:58,244,40,2,3.8,15
7/20/2021 2:09:25,244,41,5,3.79,15
7/20/2021 2:10:26,244,42,2,3.8,15
7/20/2021 2:11:11,244,43,3,3.8,15
7/20/2021 2:15:55,244,44,4,3.79,15
7/20/2021 2:16:50,244,45,5,3.79,15
7/20/2021 2:30:56,244,46,2,3.8,15
7/20/2021 2:31:45,244,47,4,3.8,15
7/20/2021 2:39:31,244,48,1,3.8,15
7/20/2021 2:44:54,244,49,2,3.8,15
7/20/2021 2:47:41,244,50,2,3.8,15
7/20/2021 2:48:56,244,51,2,3.8,15
7/20/2021 2:54:49,244,52,2,3.79,15
7/20/2021 2:55:37,244,53,4,3.8,15
7/20/2021 2:57:03,244,54,2,3.79,15
7/20/2021 3:12:12,244,55,2,3.79,15
7/20/2021 3:13:00,244,56,2,3.79,15
7/20/2021 3:13:52,244,57,2,3.79,15
7/20/2021 3:17:24,244,58,2,3.8,15
7/20/2021 3:19:50,244,59,2,3.8,15
7/20/2021 3:23:34,244,60,3,3.79,15
7/20/2021 3:25:55,244,61,2,3.8,15
7/20/2021 3:39:26,244,62,6,3.79,15
7/20/2021 3:41:09,244,63,2,3.79,15
7/20/2021 3:44:59,244,64,5,3.8,15
7/20/2021 3:48:30,244,65,5,3.79,15
7/20/2021 3:49:54,244,66,10,3.79,15
7/20/2021 3:54:43,244,67,2,3.79,15
7/20/2021 3:56:55,244,68,4,3.79,15
7/20/2021 4:05:43,244,69,2,3.79,15
7/20/2021 4:07:16,244,70,2,3.79,15
7/20/2021 4:07:58,244,71,2,3.79,15
7/20/2021 4:19:45,244,72,3,3.78,15
7/20/2021 4:26:59,244,73,10,3.78,15
7/20/2021 4:27:36,244,74,2,3.79,15
7/20/2021 4:33:22,244,75,3,3.78,15
7/20/2021 4:36:0,244,76,2,3.79,15
7/20/2021 4:47:55,244,77,7,3.78,15
7/20/2021 4:52:40,244,78,2,3.78,15
7/20/2021 4:53:11,244,79,2,3.78,15
7/20/2021 6:46:00,244,80,4,3.78,15
7/20/2021 7:42:15,244,81,2,3.78,15
7/20/2021 7:52:45,244,82,2,3.78,15
7/20/2021 10:28:14,244,83,4,3.78,15
7/21/2021 13:30:47,244,1,5,3.75,0
7/21/2021 13:31:17,244,2,3,3.75,15
7/21/2021 13:32:18,244,3,2,3.76,15
7/21/2021 13:33:06,244,4,2,3.75,15
7/21/2021 13:40:15,244,5,2,3.75,15
7/21/2021 14:44:06,244,6,4,3.75,15
7/21/2021 14:44:55,244,7,6,3.75,15
7/21/2021 14:46:21,244,8,5,3.75,15
7/21/2021 14:47:17,244,9,2,3.75,15
7/21/2021 14:49:17,244,10,5,3.76,15
7/21/2021 14:50:01,244,11,2,3.75,15
7/21/2021 14:55:24,244,12,1,3.75,15
7/21/2021 15:11:39,244,13,2,3.75,15
7/21/2021 15:15:47,244,14,2,3.75,15
7/21/2021 15:16:34,244,15,2,3.75,15
7/21/2021 15:35:37,244,16,3,3.75,15
7/21/2021 15:36:17,244,17,3,3.75,15
7/21/2021 15:36:53,244,18,4,3.74,15
7/21/2021 15:43:37,244,19,2,3.75,15
7/21/2021 15:44:57,244,20,10,3.75,15
7/21/2021 15:50:30,244,21,2,3.74,15
7/21/2021 15:55:49,244,22,2,3.75,15
7/21/2021 16:01:45,244,23,5,3.74,15
7/21/2021 16:22:22,244,24,3,3.75,15
7/21/2021 16:23:28,244,25,4,3.75,15
7/21/2021 16:30:10,244,26,4,3.74,15
7/21/2021 16:32:00,244,27,3,3.74,15
7/21/2021 16:38:30,244,28,2,3.75,15
7/21/2021 16:56:54,244,29,5,3.74,15
7/21/2021 16:58:09,244,30,6,3.74,15
7/21/2021 16:58:37,244,31,2,3.74,15
7/21/2021 17:07:52,244,32,2,3.74,15
7/21/2021 17:09:28,244,33,2,3.74,15
7/21/2021 17:17:31,244,34,3,3.74,15
7/21/2021 17:19:46,244,35,5,3.74,15
7/21/2021 17:20:53,244,36,2,3.74,15
7/21/2021 17:22:09,244,37,2,3.74,15
7/21/2021 17:36:36,244,38,5,3.74,15
7/21/2021 17:46:28,244,39,4,3.74,15
