ID,sensor,tiempo,actividad,evento,exito
244,0,10634,1,0,0
244,0,10861,2,0,0
245,0,10827,1,0,0
245,0,11137,2,0,0
263,0,13356,1,0,0
263,0,13620,2,0,0
263,0,13802,3,0,0
263,0,13939,4,0,0
244,1,393007,1,0,0
244,1,393120,2,0,0
244,0,403764,3,0,0
245,1,436771,1,0,0
245,1,436902,2,0,0
245,1,437084,3,0,0
245,1,437192,4,0,0
245,1,438102,5,1,1
245,1,438215,6,1,1
245,1,438335,7,1,1
245,1,438452,8,1,1
245,1,438567,9,1,1
245,1,438694,10,1,1
245,1,438923,11,1,1
245,1,439038,12,1,1
245,1,439170,13,1,1
245,1,439293,14,1,1
245,1,439405,15,1,1
245,1,439514,16,1,1
245,1,439649,17,1,1
245,1,439764,18,1,1
245,1,439880,19,1,1
245,1,439993,20,1,1
245,1,440108,21,1,1
245,1,440224,22,1,1
263,1,440797,1,0,0
245,1,440479,23,1,1
263,1,441132,2,0,0
245,1,440610,24,1,1
245,1,440734,25,1,1
245,1,440850,26,1,1
245,1,440969,27,1,1
245,1,441209,28,1,1
245,1,441324,29,1,1
245,1,441459,30,1,1
245,1,441587,31,1,1
245,1,441707,32,1,1
245,1,441846,33,1,1
245,1,441969,34,1,1
245,1,442108,35,1,1
245,1,442228,36,1,1
245,1,442356,37,1,1
245,1,442499,38,1,1
245,1,442618,39,1,1
245,1,442738,40,1,1
245,1,442885,41,1,1
245,0,464176,3,0,0
245,0,464330,4,0,0
245,0,465245,5,1,1
244,1,533524,3,0,0
245,0,575713,6,1,1
245,0,575879,7,1,1
245,0,576160,8,1,1
263,0,579312,5,1,1
263,0,579577,6,1,1
263,0,579677,7,1,1
263,0,580111,8,1,1
263,0,580279,9,1,1
263,0,580622,10,1,1
263,0,580728,11,1,1
263,0,580858,12,1,1
263,0,581099,13,1,1
263,0,581209,14,1,1
263,0,581323,15,1,1
263,0,581381,16,1,1
263,0,581445,17,1,1
263,0,581579,18,1,1
263,0,581830,19,1,1
263,0,581934,20,1,1
263,1,643965,3,0,0
263,1,644111,4,0,0
263,1,645324,5,1,1
263,1,648925,6,1,1
263,1,649077,7,1,1
244,1,662413,4,0,0
244,1,663306,5,1,1
244,0,717505,4,0,0
244,0,718455,5,1,1
244,0,718513,6,1,1
244,0,718625,7,1,1
244,0,718732,8,1,1
244,0,718841,9,1,1
244,0,718952,10,1,1
244,0,719066,11,1,1
244,0,719178,12,1,1
244,0,719292,13,1,1
244,0,719387,14,1,1
244,0,719626,15,1,1
244,0,719731,16,1,1
244,0,719845,17,1,1
244,0,719960,18,1,1
244,0,720069,19,1,1
244,0,720191,20,1,1
244,0,720312,21,1,1
244,0,720425,22,1,1
244,0,720550,23,1,1
244,0,720668,24,1,1
244,0,720783,25,1,1
244,0,721030,26,1,1
244,0,721143,27,1,1
244,0,721257,28,1,1
244,0,721390,29,1,1
244,0,721512,30,1,1
244,0,721637,31,1,1
244,0,721755,32,1,1
244,0,721880,33,1,1
244,0,722001,34,1,1
244,0,722119,35,1,1
244,0,722362,36,1,1
244,0,722477,37,1,1
244,0,722606,38,1,1
244,0,722731,39,1,1
244,0,722852,40,1,1
244,0,722998,41,1,1
244,0,723119,42,1,1
244,0,723236,43,1,1
244,0,723358,44,1,1
244,0,723487,45,1,1
244,0,723617,46,1,1
244,0,723742,47,1,1
244,0,723868,48,1,1
244,0,723998,49,1,1
244,0,724131,50,1,1
244,0,724256,51,1,1
244,0,724378,52,1,1
244,0,724495,53,1,1
244,0,724621,54,1,1
244,0,724743,55,1,1
244,0,724873,56,1,1
244,0,724998,57,1,1
244,0,725253,58,1,1
244,0,725374,59,1,1
244,0,725487,60,1,1
244,0,725609,61,1,1
244,0,726511,62,1,1
244,0,726641,63,1,1
244,0,726747,64,1,1
244,0,726867,65,1,1
244,0,726974,66,1,1
244,0,727088,67,1,1
244,0,727193,68,1,1
245,0,759577,9,1,1
245,0,760580,10,2,2
245,0,763525,11,2,2
245,0,765015,12,2,2
263,1,775942,8,1,1
263,1,776079,9,1,1
263,1,776992,10,2,2
263,1,777931,11,2,2
263,1,778061,12,2,2
244,1,854652,6,1,1
244,1,854824,7,1,1
244,1,854942,8,1,1
244,1,855059,9,1,1
244,1,855988,10,2,2
244,1,861271,11,2,2
244,1,861385,12,2,2
244,1,861491,13,2,2
244,1,862475,14,2,2
244,1,862734,15,2,2
244,1,863220,16,2,2
244,1,863334,17,2,2
244,1,863431,18,2,2
263,1,928692,13,2,2
263,1,929923,14,2,2
263,1,930885,15,3,3
263,1,930949,16,3,3
263,1,931070,17,3,3
263,1,931200,18,3,3
263,1,931317,19,3,3
263,1,931432,20,3,3
263,1,931676,21,3,3
263,1,931793,22,3,3
263,1,931919,23,3,3
263,1,932079,24,3,3
