MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
7/26/2021 9:42:34,243,1,1,3.94,0
7/26/2021 9:43:52,243,2,1,3.94,15
7/26/2021 9:44:24,243,3,1,3.94,15
7/26/2021 9:44:53,243,4,1,3.94,15
7/26/2021 9:45:19,243,5,1,3.94,15
7/26/2021 9:34:05,243,1,2,3.91,0
7/26/2021 9:39:13,243,2,1,3.91,15
7/26/2021 9:57:34,243,3,3,3.91,15
7/26/2021 10:07:56,243,4,3,3.91,15
7/26/2021 10:09:38,243,5,1,3.91,15
7/26/2021 10:21:30,243,6,2,3.91,15
7/26/2021 10:39:45,243,7,7,3.92,15
7/26/2021 10:47:46,243,8,1,3.91,15
7/26/2021 10:48:08,243,9,1,3.91,15
7/26/2021 10:51:47,243,10,4,3.91,15
7/26/2021 11:56:01,243,11,1,3.9,15
7/26/2021 11:57:16,243,12,1,3.91,15
7/26/2021 12:57:21,243,13,1,3.91,15
7/26/2021 12:57:51,243,14,1,3.91,15
7/26/2021 12:59:32,243,15,1,3.91,15
7/26/2021 13:06:59,243,16,1,3.91,15
7/26/2021 14:08:49,243,17,2,3.91,15
7/26/2021 14:46:05,243,18,2,3.91,15
7/26/2021 14:47:30,243,19,3,3.91,15
7/26/2021 14:50:06,243,20,1,3.9,15
7/26/2021 15:03:33,243,21,1,3.91,15
7/26/2021 15:58:57,243,22,1,3.9,15
7/26/2021 15:59:31,243,23,1,3.9,15
7/26/2021 16:45:18,243,24,3,3.91,15
7/26/2021 16:48:44,243,25,2,3.9,15
7/26/2021 16:52:17,243,26,2,3.9,15
7/26/2021 17:10:43,243,27,4,3.91,15
7/26/2021 17:33:29,243,28,3,3.91,15
7/26/2021 17:35:05,243,29,2,3.9,15
7/26/2021 18:08:12,243,30,3,3.9,15
7/26/2021 18:08:58,243,31,1,3.9,15
7/26/2021 18:21:29,243,32,3,3.89,15
7/26/2021 18:27:39,243,33,1,3.9,15
7/26/2021 18:42:46,243,34,2,3.9,15
7/26/2021 18:45:12,243,35,1,3.89,15
7/26/2021 18:51:26,243,36,3,3.9,15
7/26/2021 18:52:00,243,37,3,3.89,15
7/26/2021 19:39:25,243,38,4,3.89,15
7/26/2021 19:40:15,243,39,1,3.9,15
7/26/2021 19:40:41,243,40,1,3.9,15
