MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/9/2021 11:26:29,45,1,3,3.82,15
MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/9/2021 11:26:21,45,1,1,3.81,15
MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/9/2021 11:27:58,45,1,10,3.80,15
MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/9/2021 11:28:20,45,1,10,3.81,15
8/9/2021 11:28:54,45,2,1,3.81,15
8/9/2021 11:29:24,45,3,1,3.81,15
8/9/2021 11:30:02,45,4,1,3.81,15
MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
8/9/2021 11:26:23,45,1,1,3.81,15
8/9/2021 11:26:51,45,2,1,3.81,15
