MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
10/4/2021 14:30:22,0,1,1,4.07,180
10/4/2021 14:37:08,0,2,1,4.05,180
10/4/2021 14:41:29,0,3,1,4.05,15
10/4/2021 14:45:24,0,4,1,4.05,60
10/4/2021 14:56:37,0,5,1,4.05,60
10/4/2021 15:01:52,0,6,1,4.05,15
10/4/2021 15:09:22,0,7,1,4.05,60
10/4/2021 15:13:33,0,8,1,4.05,120
10/4/2021 15:19:06,0,9,1,4.05,15
10/4/2021 15:26:58,0,10,1,4.05,120
10/4/2021 15:31:44,0,11,1,4.05,180
10/4/2021 16:27:47,0,12,1,4.05,15
10/4/2021 16:36:06,0,13,1,4.05,60
10/4/2021 16:40:23,0,14,1,4.05,120
10/4/2021 16:47:02,0,15,1,4.05,240
10/4/2021 16:48:56,0,16,1,4.05,60
10/4/2021 16:52:43,0,17,1,4.05,180
10/4/2021 17:02:50,0,18,1,4.05,240
10/4/2021 17:12:37,0,19,1,4.05,240
10/4/2021 17:20:10,0,20,1,4.04,60
10/4/2021 17:22:27,0,21,1,4.05,60
10/4/2021 17:29:31,0,22,1,4.05,240
10/4/2021 17:34:05,0,23,1,4.05,240
10/4/2021 17:35:54,0,24,1,4.05,60
10/4/2021 17:41:20,0,25,1,4.05,15
10/4/2021 17:52:06,0,26,1,4.05,180
10/4/2021 17:55:44,0,27,1,4.04,120
10/4/2021 17:59:39,0,28,1,4.04,60
10/4/2021 18:12:40,0,29,1,4.05,180
10/4/2021 18:20:54,0,30,1,4.05,240
10/4/2021 18:28:20,0,31,1,4.05,240
10/4/2021 18:32:56,0,32,1,4.05,60
10/4/2021 18:39:24,0,33,1,4.05,120
10/4/2021 18:51:48,0,34,1,4.04,60
10/4/2021 19:24:32,0,35,1,4.05,60
10/4/2021 19:27:47,0,36,1,4.04,120
10/4/2021 20:26:48,0,37,1,4.04,240
10/4/2021 20:56:59,0,38,2,4.04,240
10/4/2021 21:21:38,0,39,1,4.05,15
10/4/2021 21:43:34,0,40,1,4.05,120
10/4/2021 22:05:42,0,41,1,4.05,15
10/4/2021 22:18:01,0,42,1,4.05,120
10/4/2021 22:25:00,0,43,1,4.05,15
10/4/2021 22:32:26,0,44,1,4.04,15
10/4/2021 22:40:56,0,45,1,4.04,240
10/4/2021 23:12:51,0,46,1,4.04,15
10/4/2021 23:26:31,0,47,1,4.05,15
10/4/2021 23:45:13,0,48,1,4.04,60
10/5/2021 0:04:30,0,49,1,4.05,120
10/5/2021 0:14:49,0,50,1,4.05,60
10/5/2021 0:23:55,0,51,1,4.04,120
10/5/2021 0:27:48,0,52,1,4.04,180
10/5/2021 0:37:20,0,53,1,4.04,240
10/5/2021 0:40:39,0,54,1,4.04,60
10/5/2021 0:44:25,0,55,1,4.04,120
10/5/2021 0:50:11,0,56,1,4.05,15
10/5/2021 1:01:08,0,57,1,4.04,240
10/5/2021 1:11:30,0,58,1,4.05,120
10/5/2021 1:24:27,0,59,1,4.05,240
10/5/2021 1:28:47,0,60,1,4.04,180
10/5/2021 1:41:45,0,61,1,4.05,120
10/5/2021 1:46:07,0,62,1,4.05,180
10/5/2021 2:14:33,0,63,1,4.04,240
10/5/2021 3:38:28,0,64,1,4.04,15
10/5/2021 4:31:42,0,65,1,4.04,15
10/5/2021 4:34:39,0,66,1,4.04,60
10/5/2021 5:27:59,0,67,1,4.04,180
10/5/2021 7:52:49,0,68,1,4.04,120
10/5/2021 8:13:17,0,69,1,4.04,120
10/5/2021 10:31:56,0,70,1,4.04,120
10/5/2021 11:19:07,0,71,1,4.04,180
