ID,sensor,tiempo,actividad,evento,exito
234,0,9105,1,0,0
234,0,9227,2,0,0
236,0,11371,1,0,0
236,0,11488,2,0,0
243,0,14313,1,0,0
243,0,14481,2,0,0
243,0,14587,3,0,0
234,0,130786,3,0,0
234,0,131476,4,0,0
234,1,147225,1,0,0
236,1,174100,1,0,0
236,1,174443,2,0,0
236,1,174813,3,0,0
236,1,175040,4,0,0
236,1,175931,5,1,1
236,0,178953,3,0,0
236,0,179218,4,0,0
236,0,180121,5,1,1
236,0,180193,6,1,1
236,0,180302,7,1,1
236,0,180423,8,1,1
243,1,201021,1,0,0
236,1,240147,6,1,1
236,1,242131,7,1,1
236,0,261129,9,1,1
236,0,261241,10,1,1
236,0,261494,11,1,1
236,0,262397,12,2,2
236,0,262672,13,2,2
243,0,265989,4,0,0
243,0,266898,5,1,1
243,0,266990,6,1,1
243,0,267094,7,1,1
243,0,267196,8,1,1
243,0,267302,9,1,1
243,0,267421,10,1,1
243,0,267535,11,1,1
243,0,267641,12,1,1
243,0,267748,13,1,1
243,0,267858,14,1,1
243,0,267969,15,1,1
243,0,268091,16,1,1
243,0,268205,17,1,1
243,0,268323,18,1,1
243,0,268441,19,1,1
243,0,268563,20,1,1
243,0,268682,21,1,1
243,0,268795,22,1,1
243,0,268917,23,1,1
243,0,269024,24,1,1
243,0,269146,25,1,1
243,0,269279,26,1,1
243,0,269389,27,1,1
243,0,269515,28,1,1
243,0,269637,29,1,1
243,0,269915,30,1,1
243,0,270029,31,1,1
243,0,270151,32,1,1
243,0,270265,33,1,1
243,0,270375,34,1,1
243,0,270494,35,1,1
243,0,270612,36,1,1
243,0,270726,37,1,1
243,0,270844,38,1,1
243,0,270962,39,1,1
243,0,271069,40,1,1
243,0,271183,41,1,1
243,0,271294,42,1,1
243,0,271404,43,1,1
243,0,271522,44,1,1
243,0,271643,45,1,1
243,0,271899,46,1,1
243,0,272036,47,1,1
243,1,293752,2,0,0
243,1,293839,3,0,0
243,1,293958,4,0,0
243,1,294871,5,1,1
236,0,298729,14,2,2
