MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
7/26/2021 10:21:00,4,1,1,3.98,0
7/26/2021 10:21:24,4,2,1,3.98,15
7/26/2021 10:21:50,4,3,1,3.97,15
7/26/2021 10:20:59,4,4,1,3.97,0
7/26/2021 11:45:30,4,5,1,3.96,15
7/26/2021 12:14:21,4,6,3,3.97,15
7/26/2021 13:03:40,4,7,5,3.96,15
7/26/2021 22:15:33,4,8,1,3.94,15
7/27/2021 2:19:44,4,9,20,3.94,15
7/27/2021 2:37:16,4,10,43,3.94,15
7/27/2021 2:49:04,4,11,110,3.95,15
7/27/2021 2:50:45,4,12,3,3.94,15
7/27/2021 2:51:36,4,13,8,3.94,15
7/27/2021 2:52:08,4,14,2,3.94,15
7/27/2021 2:57:53,4,15,34,3.93,15
7/27/2021 3:06:12,4,16,61,3.93,15
7/27/2021 3:11:34,4,17,31,3.93,15
7/27/2021 3:38:57,4,18,261,3.93,15
7/27/2021 3:56:36,4,19,171,3.91,15
7/27/2021 4:18:54,4,20,2,3.92,15
7/27/2021 4:34:20,4,21,139,3.92,15
7/27/2021 4:46:22,4,22,10,3.92,15
7/27/2021 5:22:19,4,23,28,3.92,15
7/27/2021 8:56:52,4,24,2039,3.85,15
7/27/2021 9:22:07,4,25,10,3.86,15
7/27/2021 9:23:25,4,26,11,3.85,15
7/27/2021 9:28:46,4,27,50,3.85,15
7/27/2021 9:56:26,4,28,263,3.85,15
7/27/2021 11:22:13,4,29,818,3.82,15
7/27/2021 11:22:57,4,30,6,3.82,15
7/27/2021 11:24:07,4,31,10,3.82,15
7/27/2021 11:24:57,4,32,1,3.82,15
7/27/2021 11:28:00,4,33,8,3.82,15
7/27/2021 11:28:22,4,34,1,3.82,15
7/27/2021 11:28:50,4,35,2,3.82,15
7/27/2021 11:29:53,4,36,1,3.82,15
7/27/2021 11:30:31,4,37,4,3.82,15
7/27/2021 11:35:47,4,38,2,3.82,15
7/27/2021 11:47:15,4,39,102,3.81,15
7/27/2021 11:48:40,4,40,2,3.81,15
7/27/2021 11:49:07,4,41,1,3.82,15
7/27/2021 11:54:01,4,42,1,3.81,15
7/27/2021 12:00:06,4,43,1,3.82,15
7/27/2021 12:12:05,4,44,2,3.82,15
7/27/2021 12:12:28,4,45,1,3.81,15
7/27/2021 12:13:03,4,46,1,3.81,15
7/27/2021 13:52:04,4,47,2,3.81,15
7/27/2021 13:58:54,4,48,2,3.81,15
7/27/2021 14:02:01,4,49,1,3.81,15
7/27/2021 14:57:42,4,50,1,3.8,15
7/27/2021 14:58:24,4,51,1,3.81,15
7/27/2021 14:59:20,4,52,1,3.81,15
7/27/2021 14:59:43,4,53,1,3.81,15
7/27/2021 15:08:02,4,54,1,3.8,15
7/27/2021 15:09:19,4,55,2,3.81,15
