Mouse,weight,measurement
1,25,1
1,25.96,2
1,26.36,3
2,24,1
2,27.47,2
2,26.6,3
3,26,1
3,26.04,2
3,26.6,3
4,23,1
4,22,2
4,22.9,3
5,24,1
5,24.61,2
5,25.57,3
6,19,1
6,19.8,2
6,19.45,3
7,22,1
7,22.32,2
7,22,3
8,26.96,4
8,25.14,5
8,25.34,6
9,25.44,4
9,25.05,5
9,26.52,6
0,24.26,4
0,24.02,5
0,24.22,6
1,27,4
1,27.34,5
1,26.66,6
2,29.7,4
2,29.19,5
2,27.72,6
3,27.3,4
3,27.03,5
3,27.72,6
4,22.9,4
4,22.84,5
4,23.91,6
5,26.11,4
5,25.12,5
5,25.9,6
6,20.05,4
6,19.54,5
6,20.97,6
7,21.05,4
7,21.01,5
7,22.17,6
8,26.96,1
8,26.96,2
8,26.96,3
9,25.54,1
9,25.54,2
9,25.54,3
0,24.26,1
0,24.26,2
0,24.26,3
1,27.75,9
2,29.11,9
3,27.2,9
4,23.76,9
5,26.66,9
6,21.17,9
7,24,9
8,25.03,9
9,26.08,9
0,24.5,9
1,27.8,8
2,29.61,8
3,27.22,8
4,24.13,8
5,25.77,8
6,21.12,8
7,23.58,8
8,24.58,8
9,26.12,8
0,24.38,8
1,27.5,7
2,29.1,7
3,27.3,7
4,23.5,7
5,27.01,7
6,20.57,7
7,23.65,7
8,26.2,7
9,26.34,7
0,24.48,7
