MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
7/19/2021 18:55:13,236,1,10,3.75,0
7/19/2021 19:27:35,236,2,2,3.74,15
7/19/2021 19:30:19,236,3,5,3.74,15
7/19/2021 19:33:02,236,4,3,3.74,15
7/19/2021 20:27:08,236,5,3,3.74,15
7/19/2021 20:51:14,236,6,2,3.74,15
7/19/2021 21:35:54,236,7,260,3.72,15
7/20/2021 2:13:27,236,8,19,3.71,15
7/20/2021 2:42:48,236,9,269,3.69,15
7/20/2021 3:29:18,236,10,418,3.67,15
7/20/2021 3:30:25,236,11,10,3.68,15
7/20/2021 3:47:23,236,12,155,3.67,15
7/20/2021 3:50:16,236,13,13,3.67,15
7/20/2021 5:01:37,236,14,590,3.65,15
7/20/2021 5:24:49,236,15,210,3.65,15
7/20/2021 5:46:18,236,16,196,3.65,15
7/20/2021 8:03:50,236,17,43,3.65,15
7/20/2021 17:43:57,236,18,7,3.64,15
7/20/2021 18:26:14,236,19,3,3.64,15
7/20/2021 18:26:43,236,20,2,3.64,15
7/20/2021 19:30:35,236,21,581,3.62,15
7/20/2021 19:49:35,236,22,42,3.62,15
7/20/2021 19:54:18,236,23,2,3.63,15
7/20/2021 19:56:08,236,24,16,3.63,15
7/20/2021 20:21:18,236,25,191,3.62,15
7/20/2021 20:25:53,236,26,30,3.62,15
7/20/2021 20:41:18,236,27,101,3.62,15
7/20/2021 21:08:32,236,28,1,3.62,15
7/21/2021 0:18:55,236,29,40,3.62,15
7/21/2021 0:31:44,236,30,62,3.61,15
7/21/2021 0:47:58,236,31,111,3.61,15
7/21/2021 2:20:07,236,32,6,3.62,15
7/21/2021 2:25:31,236,33,48,3.61,15
7/21/2021 2:27:48,236,34,2,3.61,15
7/21/2021 2:30:46,236,35,30,3.62,15
7/21/2021 2:36:32,236,36,50,3.61,15
7/21/2021 2:38:21,236,37,15,3.61,15
7/21/2021 3:42:48,236,38,120,3.62,15
7/21/2021 3:55:20,236,39,13,3.61,15
7/21/2021 9:02:03,236,1,1,3.51,0
7/21/2021 9:03:33,236,1,17,3.51,0
7/21/2021 9:19:01,236,2,110,3.48,15
7/21/2021 14:39:34,236,3,2485,3.48,15
7/21/2021 14:53:26,236,4,118,3.48,15
7/21/2021 16:51:04,236,5,1068,3.48,15
7/21/2021 17:54:43,236,6,570,3.48,15
7/21/2021 18:14:36,236,7,162,3.48,15
7/21/2021 18:29:22,236,8,127,3.47,15
7/21/2021 19:18:23,236,9,9,3.48,15
7/21/2021 21:59:16,236,10,1455,3.48,15
7/21/2021 22:45:15,236,11,403,3.48,15
7/22/2021 3:38:03,236,12,3,3.49,15
7/22/2021 4:01:50,236,13,215,3.48,15
7/22/2021 7:02:25,236,14,1620,3.48,15
7/22/2021 7:11:42,236,15,80,3.49,15
7/22/2021 7:35:35,236,16,216,3.48,15
7/22/2021 7:44:57,236,17,84,3.49,15
7/22/2021 8:01:11,236,18,1,3.48,15
