MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
7/26/2021 10:00:43,3,1,1,4,0
7/26/2021 10:01:06,3,2,1,4,15
7/26/2021 10:01:34,3,3,1,4,15
7/26/2021 10:01:58,3,4,1,4,15
7/26/2021 10:02:23,3,5,1,4,15
7/26/2021 10:00:23,3,1,1,3.99,0
7/26/2021 10:06:58,3,2,1,3.98,15
7/26/2021 10:10:34,3,3,1,3.98,15
7/26/2021 10:18:20,3,4,3,3.98,15
7/26/2021 10:19:23,3,5,1,3.99,15
7/26/2021 10:19:51,3,6,1,3.99,15
7/26/2021 10:28:58,3,7,2,3.98,15
7/26/2021 10:32:05,3,8,20,4,15
7/26/2021 10:45:36,3,9,40,3.99,15
7/26/2021 12:17:48,3,10,95,3.98,15
7/26/2021 13:25:12,3,11,640,3.97,15
7/26/2021 17:57:31,3,12,2597,3.89,15
7/26/2021 18:01:23,3,13,35,3.88,15
7/26/2021 18:28:24,3,14,251,3.87,15
7/26/2021 18:46:56,3,15,160,3.87,15
7/26/2021 19:30:44,3,16,144,3.85,15
7/26/2021 20:06:31,3,17,167,3.85,15
7/26/2021 20:13:34,3,18,62,3.85,15
7/26/2021 20:34:21,3,19,195,3.84,15
7/26/2021 21:29:05,3,20,9,3.84,15
7/26/2021 21:29:27,3,21,2,3.83,15
7/26/2021 21:29:50,3,22,2,3.84,15
7/26/2021 21:30:15,3,23,3,3.85,15
7/26/2021 21:58:25,3,24,270,3.82,15
7/26/2021 22:49:10,3,25,485,3.81,15
7/26/2021 23:31:39,3,26,110,3.81,15
7/27/2021 0:10:19,3,27,23,3.8,15
7/27/2021 2:51:58,3,28,1533,3.74,15
7/27/2021 2:55:53,3,29,30,3.75,15
7/27/2021 4:02:27,3,30,2,3.74,15
7/27/2021 4:03:00,3,31,3,3.74,15
7/27/2021 6:35:48,3,32,1453,3.71,15
7/27/2021 9:31:48,3,33,2,3.71,15
7/27/2021 9:43:36,3,34,3,3.7,15
7/27/2021 9:44:01,3,35,1,3.71,15
7/27/2021 9:44:56,3,36,5,3.7,15
7/27/2021 9:45:20,3,37,1,3.71,15
7/27/2021 9:46:32,3,38,1,3.71,15
7/27/2021 9:47:16,3,39,1,3.7,15
7/27/2021 9:48:12,3,40,3,3.71,15
7/27/2021 9:48:39,3,41,1,3.71,15
7/27/2021 9:49:05,3,42,1,3.71,15
7/27/2021 9:49:53,3,43,1,3.71,15
7/27/2021 9:50:40,3,44,1,3.71,15
7/27/2021 9:52:32,3,45,1,3.71,15
7/27/2021 9:56:34,3,46,1,3.71,15
7/27/2021 9:57:10,3,47,1,3.71,15
7/27/2021 9:57:40,3,48,1,3.7,15
7/27/2021 10:07:31,3,49,1,3.71,15
7/27/2021 10:08:22,3,50,1,3.7,15
7/27/2021 11:39:57,3,51,1,3.71,15
7/27/2021 12:41:34,3,52,1,3.7,15
7/27/2021 12:42:03,3,53,1,3.7,15
7/27/2021 12:42:36,3,54,2,3.71,15
7/27/2021 12:43:52,3,55,1,3.71,15
7/27/2021 12:44:21,3,56,1,3.7,15
7/27/2021 12:46:58,3,57,1,3.7,15
7/27/2021 12:47:22,3,58,1,3.7,15
7/27/2021 14:39:36,3,59,1,3.69,15
7/27/2021 14:40:28,3,60,1,3.7,15
7/27/2021 14:41:19,3,61,1,3.69,15
7/27/2021 14:42:14,3,62,1,3.7,15
7/27/2021 14:42:47,3,63,1,3.69,15
7/27/2021 14:43:08,3,64,1,3.7,15
7/27/2021 14:43:56,3,65,1,3.7,15
7/27/2021 14:53:46,3,66,1,3.7,15
7/27/2021 14:57:04,3,67,1,3.7,15
7/27/2021 14:57:31,3,68,1,3.7,15
7/27/2021 14:57:59,3,69,1,3.7,15
7/27/2021 16:21:12,3,70,1,3.7,15
7/27/2021 16:22:25,3,71,3,3.7,15
7/27/2021 16:23:16,3,72,1,3.7,15
7/27/2021 17:04:10,3,73,1,3.7,15
7/27/2021 17:05:40,3,74,2,3.7,15
7/27/2021 17:16:40,3,75,1,3.7,15
7/27/2021 17:33:04,3,76,1,3.69,15
7/27/2021 17:41:12,3,77,1,3.7,15
7/27/2021 17:41:36,3,78,1,3.69,15
7/27/2021 17:58:13,3,79,14,3.7,15
7/27/2021 18:14:50,3,80,29,3.69,15
7/27/2021 18:22:02,3,81,36,3.69,15
7/27/2021 18:58:06,3,82,310,3.69,15
7/27/2021 19:12:30,3,83,120,3.69,15
7/27/2021 19:16:51,3,84,40,3.69,15
7/27/2021 20:26:28,3,85,649,3.69,15
7/27/2021 20:28:09,3,86,13,3.68,15
7/27/2021 20:32:26,3,87,40,3.69,15
7/27/2021 20:42:22,3,88,87,3.68,15
7/27/2021 21:09:47,3,89,256,3.68,15
7/27/2021 21:29:40,3,90,190,3.67,15
7/27/2021 21:37:26,3,91,58,3.67,15
7/27/2021 21:56:25,3,92,108,3.67,15
7/27/2021 22:00:42,3,93,41,3.67,15
7/27/2021 22:11:19,3,94,10,3.67,15
7/27/2021 22:21:14,3,95,10,3.67,15
7/27/2021 22:36:48,3,96,4,3.67,15
7/28/2021 2:28:08,3,97,1,3.67,15
7/28/2021 2:29:23,3,98,11,3.67,15
7/28/2021 2:33:18,3,99,37,3.67,15
7/28/2021 10:07:06,3,100,3,3.67,15
7/28/2021 10:10:31,3,101,1,3.67,15
