MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage, Delay
7/19/2021 9:03:56,235,1,4,3.91,0
7/19/2021 9:04:32,235,2,3,3.91,15
7/19/2021 9:05:45,235,3,10,3.92,15
7/19/2021 9:06:27,235,4,2,3.91,15
7/19/2021 9:07:03,235,5,3,3.91,15
7/19/2021 9:07:27,235,6,1,3.91,15
7/19/2021 9:07:59,235,7,1,3.92,15
7/19/2021 9:08:22,235,8,1,3.91,15
7/19/2021 23:14:21,235,1,1,3.86,0
7/19/2021 23:16:09,235,2,1,3.86,15
7/20/2021 0:15:45,235,3,233,3.84,15
7/20/2021 2:32:37,235,4,762,3.78,15
7/20/2021 2:33:24,235,5,6,3.78,15
7/20/2021 2:36:30,235,6,13,3.78,15
7/20/2021 2:37:26,235,7,8,3.78,15
7/20/2021 4:53:17,235,8,1233,3.73,15
7/20/2021 7:38:55,235,9,1482,3.69,15
7/20/2021 12:36:31,235,10,2592,3.65,15
7/20/2021 12:45:02,235,11,22,3.65,15
7/20/2021 15:52:46,235,12,1626,3.6,15
7/20/2021 17:44:42,235,13,1010,3.58,15
7/20/2021 18:39:40,235,14,500,3.55,15
7/20/2021 19:10:27,235,15,120,3.55,15
7/20/2021 19:50:34,235,16,369,3.54,15
7/20/2021 20:50:21,235,17,522,3.51,15
7/20/2021 20:57:44,235,18,10,3.51,15
7/20/2021 21:55:03,235,19,131,3.52,15
7/20/2021 21:56:50,235,20,3,3.53,15
7/20/2021 21:58:12,235,21,12,3.53,15
7/20/2021 21:58:53,235,22,1,3.53,15
7/20/2021 21:59:16,235,23,1,3.53,15
7/20/2021 22:00:49,235,24,11,3.52,15
7/20/2021 22:01:17,235,25,1,3.52,15
7/20/2021 22:01:44,235,26,1,3.52,15
7/20/2021 22:02:11,235,27,1,3.52,15
7/20/2021 22:02:39,235,28,1,3.52,15
7/20/2021 22:03:16,235,29,1,3.53,15
7/20/2021 22:04:30,235,30,10,3.53,15
7/20/2021 22:07:08,235,31,11,3.53,15
7/20/2021 22:08:07,235,32,2,3.53,15
7/20/2021 22:08:48,235,33,1,3.53,15
7/20/2021 22:09:17,235,34,1,3.52,15
7/20/2021 22:09:56,235,35,1,3.52,15
7/20/2021 22:10:36,235,36,1,3.53,15
7/20/2021 22:11:01,235,37,1,3.53,15
7/20/2021 22:12:03,235,38,1,3.53,15
7/20/2021 22:12:29,235,39,1,3.53,15
7/20/2021 22:13:06,235,40,1,3.52,15
7/20/2021 22:13:29,235,41,1,3.53,15
7/20/2021 22:13:54,235,42,1,3.52,15
7/20/2021 22:14:17,235,43,1,3.52,15
7/20/2021 22:15:35,235,44,1,3.53,15
7/20/2021 22:53:52,235,45,4,3.52,15
7/20/2021 22:54:32,235,46,1,3.53,15
7/20/2021 22:54:59,235,47,1,3.53,15
7/20/2021 22:59:20,235,48,1,3.53,15
7/20/2021 23:09:18,235,49,1,3.53,15
7/21/2021 0:04:04,235,50,1,3.53,15
7/21/2021 1:05:57,235,51,1,3.53,15
7/21/2021 1:08:58,235,52,1,3.53,15
7/21/2021 1:09:32,235,53,1,3.53,15
7/21/2021 1:11:08,235,54,1,3.53,15
7/21/2021 3:03:24,235,55,2,3.53,15
7/21/2021 3:03:46,235,56,1,3.53,15
7/21/2021 3:04:22,235,57,1,3.53,15
7/21/2021 3:05:01,235,58,2,3.53,15
7/21/2021 3:05:33,235,59,1,3.53,15
7/21/2021 3:12:21,235,60,1,3.53,15
7/21/2021 3:13:10,235,61,1,3.53,15
7/21/2021 3:17:15,235,62,3,3.53,15
7/21/2021 3:17:54,235,63,1,3.53,15
7/21/2021 3:36:03,235,64,2,3.53,15
7/21/2021 3:40:47,235,65,2,3.53,15
7/21/2021 3:49:06,235,66,11,3.53,15
7/21/2021 4:12:44,235,67,2,3.53,15
7/21/2021 4:13:18,235,68,1,3.53,15
7/21/2021 4:14:22,235,69,1,3.53,15
7/21/2021 4:15:28,235,70,1,3.53,15
7/21/2021 4:37:46,235,71,1,3.53,15
7/21/2021 4:47:01,235,72,1,3.53,15
7/21/2021 5:00:21,235,73,1,3.53,15
7/21/2021 5:01:08,235,74,1,3.53,15
7/21/2021 5:07:52,235,75,1,3.53,15
7/21/2021 5:34:51,235,76,1,3.53,15
7/21/2021 7:12:09,235,77,1,3.53,15
7/19/2021 9:29:13,235,1,1,3.85,0
7/19/2021 9:41:43,235,2,1,3.85,15
7/19/2021 9:53:27,235,3,1,3.84,15
