Mouse,day,group,pellets,baseline_pellets,delta_pellets
0,2021-09-06,Uncertainty,42,68.71428571428571,-34.985968194574355
0,2021-09-07,Uncertainty,78,68.71428571428571,8.264462809917362
0,2021-09-08,Uncertainty,81,68.71428571428571,10.650154798761614
0,2021-09-09,Uncertainty,67,68.71428571428571,-1.6913319238900573
0,2021-09-11,Uncertainty,71,68.71428571428571,2.1694915254237346
0,2021-09-12,Uncertainty,76,68.71428571428571,6.601941747572821
0,2021-09-13,Uncertainty,73,68.71428571428571,3.992015968063878
0,2021-09-14,Uncertainty,82,68.71428571428571,11.418047882136284
0,2021-09-15,Uncertainty,79,68.71428571428571,9.073724007561442
0,2021-09-16,Uncertainty,84,68.71428571428571,12.914906457453235
0,2021-09-17,Uncertainty,36,68.71428571428571,-46.497461928933994
0,2021-09-18,Uncertainty,11,68.71428571428571,-127.24409448818896
0,2021-09-19,Uncertainty,48,68.71428571428571,-25.151777970511702
0,2021-09-20,Uncertainty,77,68.71428571428571,7.440667094291217
0,2021-09-21,Uncertainty,36,68.71428571428571,-46.497461928933994
0,2021-09-22,Uncertainty,54,68.71428571428571,-16.653193209377516
0,2021-09-23,Uncertainty,24,68.71428571428571,-76.6217870257038
1,2021-09-06,Uncertainty,60,50.857142857142854,10.70234113712375
1,2021-09-07,Uncertainty,73,50.857142857142854,22.49637155297533
1,2021-09-08,Uncertainty,75,50.857142857142854,24.0398293029872
1,2021-09-09,Uncertainty,65,50.857142857142854,15.639810426540288
1,2021-09-11,Uncertainty,69,50.857142857142854,19.21331316187595
1,2021-09-12,Uncertainty,62,50.857142857142854,12.745098039215689
1,2021-09-13,Uncertainty,57,50.857142857142854,7.452339688041598
1,2021-09-14,Uncertainty,28,50.857142857142854,-42.7807486631016
1,2021-09-15,Uncertainty,54,50.857142857142854,3.9568345323741045
1,2021-09-16,Uncertainty,60,50.857142857142854,10.70234113712375
1,2021-09-17,Uncertainty,54,50.857142857142854,3.9568345323741045
1,2021-09-18,Uncertainty,47,50.857142857142854,-5.325443786982245
1,2021-09-19,Uncertainty,55,50.857142857142854,5.150976909413858
1,2021-09-20,Uncertainty,54,50.857142857142854,3.9568345323741045
1,2021-09-21,Uncertainty,70,50.857142857142854,20.05988023952096
1,2021-09-22,Uncertainty,49,50.857142857142854,-2.4952015355086328
1,2021-09-23,Uncertainty,14,50.857142857142854,-93.4782608695652
2,2021-09-06,Uncertainty,56,73.71428571428571,-19.07692307692307
2,2021-09-07,Uncertainty,79,73.71428571428571,4.56226880394575
2,2021-09-08,Uncertainty,84,73.71428571428571,8.510638297872346
2,2021-09-09,Uncertainty,83,73.71428571428571,7.7473182359952375
2,2021-09-11,Uncertainty,12,73.71428571428571,-126.3157894736842
2,2021-09-13,Uncertainty,83,73.71428571428571,7.7473182359952375
2,2021-09-14,Uncertainty,54,73.71428571428571,-21.698113207547163
2,2021-09-15,Uncertainty,99,73.71428571428571,18.611987381703475
2,2021-09-16,Uncertainty,105,73.71428571428571,22.05438066465257
2,2021-09-17,Uncertainty,62,73.71428571428571,-11.849710982658952
2,2021-09-20,Uncertainty,56,73.71428571428571,-19.07692307692307
2,2021-09-21,Uncertainty,88,73.71428571428571,11.44164759725401
2,2021-09-22,Uncertainty,87,73.71428571428571,10.726643598615922
2,2021-09-23,Uncertainty,21,73.71428571428571,-91.11111111111111
3,2021-09-06,Uncertainty,50,56.142857142857146,-7.868252516010983
