sesion,animal,l_sac,l_agua
1,234,72,20
1,235,27,25
1,236,6,5
1,243,271,66
1,244,77,12
1,245,25,5
1,263,112,21
1,264,10,18
1,265,110,15
2,234,80,15
2,235,38,17
2,236,32,54
2,243,672,75
2,244,132,25
2,245,300,49
2,263,30,20
2,264,0,0
2,265,382,14
3,234,58,25
3,235,61,27
3,236,103,22
3,243,1189,287
3,244,410,155
3,245,819,25
3,263,225,28
3,264,83,15
3,265,257,18
4,234,32,13
4,235,170,104
4,236,195,30
4,243,2119,25
4,244,185,24
4,245,1786,19
4,263,519,30
4,264,230,12
4,265,660,15
